Daytime/evening attendance,Previous qualification (grade),Mother's qualification,Father's qualification,Admission grade,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Target
1,6.364,1,1,8.218,0,1,1,1,0,2,0,6,12,17,6,6.083,7,12,14,10,6.65,0
0,3.636,3,3,1.818,0,0,1,0,0,2,0,0,6,7,6,5.5,0,6,11,5,5.5,1
1,6.364,3,3,6.455,0,0,1,0,1,1,0,0,8,8,7,6.54,0,8,8,7,6.54,1
1,2.727,1,2,0.909,0,0,1,0,1,2,0,0,5,7,4,5.25,0,5,7,5,5.8,1
1,3.091,2,3,2.509,0,0,1,1,0,1,0,0,6,9,6,5.333,0,6,6,5,5.6,1
1,3.918,1,1,0.982,0,0,1,1,0,2,0,0,7,18,0,0.0,0,7,7,0,0.0,0
1,3.918,2,1,1.364,0,0,0,0,0,1,1,0,6,6,6,7.0,0,6,6,6,6.75,1
1,3.918,1,1,0.909,0,0,1,0,0,2,1,0,6,7,2,6.0,0,6,6,0,0.0,0
1,3.918,3,3,2.318,0,0,1,0,0,3,0,0,6,12,3,6.333,0,6,14,0,0.0,0
0,3.918,3,2,2.182,0,0,1,0,0,3,0,2,8,11,8,5.938,0,6,7,6,6.167,1
1,4.091,3,1,3.173,0,0,1,0,0,1,0,0,6,6,6,6.833,0,6,6,6,6.667,1
1,3.818,3,3,2.755,0,0,1,0,1,1,0,0,7,7,7,6.875,0,8,9,8,7.239,1
1,2.273,1,1,1.955,0,1,0,0,0,1,0,0,7,10,4,5.98,0,7,7,0,0.0,0
1,3.636,3,3,3.527,0,0,1,0,0,1,0,7,10,12,8,6.438,4,9,14,5,6.7,0
1,3.918,1,1,1.818,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,1
0,3.636,3,3,2.136,0,0,1,0,0,3,0,0,6,0,0,0.0,0,6,0,0,0.0,0
1,3.918,3,3,6.364,0,0,1,0,0,3,0,13,18,19,18,7.316,10,13,14,13,7.115,1
1,3.0,2,2,2.491,0,0,1,0,0,1,0,0,6,0,0,0.0,0,6,0,0,0.0,0
1,3.636,1,1,2.927,0,1,1,0,0,1,0,4,10,12,10,6.5,5,11,11,11,6.136,1
1,2.909,3,3,2.564,0,0,1,0,0,1,0,0,6,0,0,0.0,0,6,0,0,0.0,0
1,2.091,1,1,1.518,0,0,1,0,0,1,0,0,6,15,4,7.1,0,6,17,4,6.625,0
1,1.909,1,1,1.655,0,0,1,0,0,1,0,2,7,9,6,6.633,0,7,10,5,6.15,0
1,4.727,3,3,4.191,0,0,1,0,0,1,0,0,6,8,6,6.929,0,6,6,6,7.5,1
1,3.727,2,2,4.527,0,0,1,0,0,1,0,0,5,6,5,6.7,0,5,5,5,6.4,1
1,6.182,1,3,6.091,0,0,1,0,0,1,0,0,6,6,6,6.333,0,6,7,6,6.286,1
1,2.909,3,3,3.727,0,0,1,0,0,1,0,0,7,7,6,6.258,0,7,7,6,6.258,0
1,4.545,3,3,4.273,0,0,1,0,0,1,0,0,5,12,5,6.571,0,5,6,5,5.7,1
1,3.364,1,2,2.891,0,0,1,0,0,1,0,0,5,5,5,6.3,0,5,5,5,7.0,1
1,3.918,1,1,3.727,0,0,1,0,0,1,0,0,6,12,3,5.5,0,6,12,2,5.5,0
1,2.727,2,2,2.6,0,0,1,0,0,1,0,0,5,8,5,5.4,0,5,9,4,5.625,1
1,4.273,1,2,2.936,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0
1,3.727,3,3,3.445,0,0,1,0,1,1,0,0,5,5,5,6.4,0,5,5,5,7.1,1
1,3.636,2,3,2.845,0,0,1,0,0,1,0,0,6,15,6,7.083,0,6,13,6,6.1,1
1,2.909,1,1,2.464,0,0,1,0,0,1,0,0,7,12,5,6.05,0,7,0,0,0.0,0
1,6.364,3,3,6.364,0,0,1,0,0,1,0,1,6,7,6,7.083,1,6,17,5,6.889,1
1,3.727,1,3,2.964,0,0,1,0,0,1,0,0,6,7,6,6.5,0,6,6,6,6.833,1
1,3.818,1,3,3.455,0,0,1,0,0,1,0,0,7,7,7,6.734,0,8,9,8,7.506,1
1,4.364,2,2,3.173,0,0,1,0,1,1,0,0,7,9,7,6.619,0,8,9,7,6.871,0
1,3.636,3,3,3.064,0,0,1,0,0,1,0,0,6,6,6,6.167,0,6,6,6,6.5,1
1,3.273,1,2,2.736,0,0,1,0,0,1,0,0,5,7,5,6.2,0,5,5,5,7.3,1
1,5.273,1,2,3.791,0,0,1,0,0,1,0,0,7,8,5,7.0,0,7,7,0,0.0,0
1,3.636,3,3,3.927,0,0,1,0,0,1,0,5,9,15,9,5.833,2,7,8,7,5.857,1
1,2.455,1,3,1.755,0,1,0,0,1,1,0,0,6,7,5,6.0,0,6,9,4,6.25,0
1,2.727,2,2,2.091,0,0,1,0,0,1,0,0,5,7,4,6.1,0,5,5,4,5.75,1
1,5.727,1,1,6.173,0,1,1,0,1,1,0,0,6,6,6,7.417,0,6,6,6,7.417,1
1,8.0,2,1,7.7,0,0,1,0,0,1,0,0,7,8,7,8.562,0,8,8,8,8.794,1
1,3.545,3,3,3.527,0,0,1,0,0,1,0,0,7,7,6,6.333,0,7,7,6,6.333,1
1,2.364,2,1,1.827,0,0,1,0,1,1,0,0,6,8,6,6.333,0,6,10,5,6.0,1
1,4.091,1,2,2.818,0,0,1,0,1,1,0,0,6,7,6,5.667,0,6,6,6,5.75,1
1,4.636,2,2,3.791,0,0,1,0,1,1,0,0,7,10,7,6.803,0,8,11,8,6.166,1
1,3.818,3,3,2.645,0,0,1,0,1,1,0,0,6,10,5,6.0,0,6,9,5,5.4,1
1,3.818,2,2,3.155,0,0,1,0,0,1,0,0,5,10,0,0.0,0,5,10,0,0.0,0
1,2.091,1,3,2.473,0,0,1,0,0,1,0,0,6,8,5,5.6,0,6,12,3,5.833,0
1,4.0,1,2,3.527,0,0,1,0,0,1,0,0,5,10,5,6.688,0,5,9,5,7.083,1
1,4.182,1,2,3.773,0,0,1,0,1,1,0,0,7,8,6,6.932,0,8,9,7,7.089,1
1,3.545,1,3,3.036,0,0,1,0,0,1,0,0,5,6,5,6.2,0,5,6,5,6.7,1
1,4.273,3,3,3.891,0,0,1,0,0,1,0,0,6,7,6,6.667,0,6,8,5,5.9,1
1,2.273,1,3,1.7,0,0,1,0,0,1,0,0,6,10,3,6.333,0,6,12,3,5.0,0
1,3.545,3,3,4.373,0,0,1,0,0,1,0,0,6,8,6,6.0,0,6,10,4,5.75,0
1,3.727,3,3,3.318,0,0,1,0,1,1,0,0,5,5,5,5.3,0,5,5,5,5.9,1
1,3.909,1,3,3.4,0,0,1,0,1,1,0,0,6,8,6,6.125,0,6,7,6,5.929,1
1,3.182,2,1,3.055,0,0,1,0,0,1,0,0,6,10,4,5.5,0,6,9,6,5.917,1
0,2.727,1,2,2.909,0,0,1,0,1,2,0,0,6,11,5,5.5,0,6,9,5,6.3,1
1,3.455,2,1,2.564,0,0,1,0,0,1,0,0,6,6,6,6.583,0,6,9,6,6.5,0
1,3.364,2,3,3.082,0,0,1,0,1,1,0,0,7,9,7,6.428,0,8,12,7,6.381,1
1,4.0,2,2,3.255,0,0,1,0,0,1,0,0,7,8,7,7.459,0,8,8,8,7.678,1
1,3.818,2,2,3.027,0,0,1,0,0,1,0,0,6,13,4,5.75,0,6,10,3,5.5,0
1,3.091,1,2,3.127,0,0,1,0,0,1,0,0,5,5,5,7.1,0,5,5,5,7.1,1
1,3.918,2,3,3.273,0,0,1,0,1,1,0,0,6,6,6,6.25,0,6,7,6,6.5,1
1,3.182,2,2,2.864,0,0,1,0,0,1,0,0,6,10,5,5.833,0,6,12,4,5.5,1
1,3.636,1,1,3.636,0,0,1,0,0,2,0,1,8,8,7,7.129,1,8,8,7,7.129,1
1,3.182,2,2,2.455,0,0,1,0,0,1,0,0,6,13,3,6.0,0,6,12,2,5.667,0
1,3.918,3,3,1.636,0,0,1,0,0,1,0,0,7,8,7,6.229,0,8,8,8,6.781,1
1,3.727,1,3,3.845,0,0,1,0,0,1,0,0,7,7,6,5.842,0,7,7,6,5.842,1
0,5.455,2,1,5.273,0,0,1,0,0,2,0,0,6,10,3,5.833,0,6,8,5,6.0,1
1,3.182,3,3,2.964,0,1,0,0,0,1,0,0,6,8,4,5.875,0,6,6,6,6.583,0
1,3.636,3,2,1.136,0,0,1,0,0,2,0,0,6,9,5,6.6,0,6,10,5,6.0,1
1,3.0,3,3,2.118,0,0,1,0,0,1,0,0,7,8,4,5.975,0,7,8,4,5.975,0
1,4.636,3,2,3.909,0,0,1,0,0,1,0,0,6,8,5,6.2,0,6,12,5,5.2,0
1,4.545,1,1,4.545,0,0,1,0,0,2,0,2,7,8,6,7.175,3,8,10,6,7.292,0
1,4.545,1,1,3.482,0,0,1,0,0,2,0,19,21,21,21,6.31,13,19,19,19,6.395,1
1,3.918,2,2,1.273,0,1,0,0,0,2,0,0,6,6,5,6.0,0,6,6,0,0.0,0
1,3.727,1,3,2.936,0,0,0,0,0,1,0,0,6,6,6,6.083,0,6,6,0,0.0,0
1,4.818,1,2,4.091,0,0,1,0,0,1,0,0,6,0,0,0.0,0,6,0,0,0.0,0
1,3.818,1,1,2.645,0,1,0,0,0,1,0,0,5,9,3,5.0,0,5,9,3,5.286,0
1,4.636,3,1,3.545,0,0,1,0,1,1,0,0,7,7,6,6.525,0,7,7,6,6.525,1
1,3.918,1,2,6.573,0,0,1,0,0,2,0,0,6,10,2,5.5,0,6,6,0,0.0,0
1,5.273,1,1,6.673,0,0,1,0,0,1,0,0,6,7,6,5.75,0,6,6,6,6.0,1
1,3.182,2,3,2.864,0,0,1,0,1,1,0,0,6,7,6,6.0,0,6,6,6,6.25,1
1,4.545,2,1,2.545,0,0,1,0,0,2,0,0,5,5,0,0.0,0,5,5,0,0.0,0
1,4.455,1,1,4.0,0,0,1,0,0,1,0,0,6,0,0,0.0,0,6,0,0,0.0,0
1,4.727,3,3,3.618,0,0,1,0,0,1,0,0,8,8,7,6.121,0,8,8,7,6.121,1
0,3.636,2,1,5.636,0,0,1,0,0,2,0,0,5,0,0,0.0,0,5,0,0,0.0,0
1,3.273,3,3,2.982,0,0,1,0,0,1,0,0,8,8,8,6.467,0,8,8,8,6.467,1
1,5.455,1,1,5.455,0,0,1,0,0,2,0,0,5,0,0,0.0,0,5,0,0,0.0,0
1,3.636,2,2,3.8,0,0,1,0,0,1,0,0,7,9,7,6.286,0,7,8,7,7.214,1
1,4.364,1,1,3.827,0,0,1,0,0,1,0,0,5,9,4,6.875,0,5,13,4,7.167,1
1,3.364,2,2,3.4,0,0,1,0,0,1,0,0,6,8,6,5.583,0,6,6,6,5.667,1
1,4.545,2,2,3.591,0,0,1,0,0,1,0,0,8,8,7,6.162,0,8,8,7,6.162,1
1,3.636,3,3,3.336,0,1,1,0,0,1,0,3,6,6,6,6.083,2,6,7,6,5.857,1
1,3.455,2,3,2.409,0,0,1,0,1,1,0,0,6,11,5,5.571,0,6,11,4,5.625,1
1,3.818,3,3,2.645,0,0,1,0,0,1,0,0,6,9,4,5.5,0,6,9,4,5.375,1
1,5.364,2,3,3.318,0,0,1,0,0,1,0,0,8,8,7,6.457,0,8,8,7,6.457,1
1,5.909,1,2,5.436,0,0,1,0,1,1,0,0,6,6,6,6.917,0,6,6,6,7.083,1
1,2.727,2,1,2.282,0,0,1,0,0,1,0,0,6,8,6,6.929,0,6,9,5,6.7,1
1,3.918,1,2,3.136,0,0,1,0,1,3,0,0,6,7,6,6.857,0,6,6,5,6.4,0
1,3.727,3,1,3.482,0,0,1,0,1,1,0,0,8,8,7,6.321,0,8,8,7,6.321,1
1,5.364,3,3,4.182,0,0,1,0,1,1,0,0,7,7,6,6.458,0,7,7,6,6.458,1
1,4.545,1,1,4.545,0,0,1,0,1,1,0,0,6,8,6,7.812,0,6,8,6,7.929,1
0,3.918,3,3,3.3,0,0,1,0,1,2,0,0,5,7,0,0.0,0,5,8,0,0.0,0
1,2.909,1,1,3.355,0,0,1,0,0,1,0,0,6,8,6,5.857,0,6,7,6,6.0,1
1,2.818,2,1,2.345,0,0,1,0,1,1,0,0,5,7,5,5.8,0,5,5,5,5.8,1
0,2.727,2,3,0.909,0,0,1,0,0,2,0,0,6,11,1,5.0,0,6,6,0,0.0,0
0,3.918,1,2,1.136,0,0,1,0,1,2,0,0,6,16,1,5.0,0,6,13,0,0.0,0
1,2.818,2,3,3.773,0,0,1,0,0,1,0,0,5,10,0,0.0,0,5,9,2,6.75,0
1,3.909,3,3,5.182,0,0,1,0,1,1,0,0,5,7,4,6.5,0,5,8,3,6.167,1
1,4.0,3,3,2.955,1,0,1,0,1,1,0,0,6,6,6,6.667,0,6,6,6,7.25,1
1,2.273,1,1,2.5,0,0,1,0,0,1,0,0,6,9,4,5.625,0,6,13,2,6.25,0
1,3.364,2,1,5.455,0,0,1,0,1,1,0,0,7,9,5,6.925,0,8,9,7,6.096,1
1,4.091,1,3,3.409,0,0,1,0,1,1,0,0,7,8,6,6.871,0,8,9,7,7.456,1
0,4.545,3,1,4.545,0,0,1,0,0,2,0,2,6,7,6,7.667,0,5,5,5,7.9,1
1,3.636,1,1,3.636,0,0,1,0,0,3,0,0,5,6,5,5.5,0,5,5,5,6.9,1
1,4.091,1,1,3.936,0,0,1,0,1,1,0,0,6,6,6,6.0,0,6,7,6,6.429,1
1,4.545,3,3,0.636,0,0,1,0,0,2,0,0,5,5,0,0.0,0,5,5,0,0.0,0
1,2.727,1,1,2.0,0,0,1,0,1,1,0,0,8,15,7,5.786,0,8,15,7,5.786,1
1,4.545,1,3,3.055,0,0,1,0,0,1,0,0,6,10,6,6.429,0,6,6,3,6.333,1
1,3.918,2,2,3.682,0,0,1,0,0,3,0,0,6,0,0,0.0,0,6,0,0,0.0,0
1,4.091,1,1,3.936,0,0,1,0,0,1,0,0,5,5,5,6.5,0,5,5,5,6.6,1
1,3.0,1,3,3.827,0,0,1,0,1,1,0,0,6,9,5,5.5,0,6,8,5,6.0,1
1,3.918,3,1,0.909,0,0,1,0,0,1,0,0,5,12,3,6.0,0,5,12,1,7.5,0
1,5.818,3,3,4.582,0,0,1,0,1,1,0,0,6,6,5,6.3,0,6,6,6,6.5,1
1,5.273,2,2,4.7,0,0,1,0,1,1,0,0,6,8,5,6.7,0,6,7,6,6.583,1
1,3.909,3,3,2.7,1,0,1,0,1,1,0,0,6,9,6,5.667,0,6,9,6,5.786,1
1,3.273,2,1,2.955,0,0,0,0,0,2,0,0,5,14,4,6.75,0,5,10,4,7.125,0
1,3.918,2,2,4.545,0,1,0,0,0,2,0,2,6,11,3,5.875,1,6,14,3,5.167,0
1,2.545,3,2,2.645,0,0,1,0,1,1,0,0,5,5,5,5.8,0,5,5,5,6.8,1
1,2.727,3,1,2.973,0,0,0,0,0,2,0,0,5,5,0,0.0,0,5,9,0,0.0,0
1,3.364,3,2,2.536,0,0,1,0,1,1,0,5,10,13,9,6.45,4,10,12,10,6.182,1
1,3.636,2,3,3.636,0,0,1,0,0,2,0,0,8,8,8,6.61,0,8,8,8,6.61,1
1,3.545,2,3,2.727,0,0,1,0,1,1,0,0,8,8,7,6.576,0,8,8,7,6.576,1
1,3.636,3,3,3.636,0,1,0,0,0,2,0,0,6,13,3,6.375,0,6,8,3,5.667,0
1,2.818,2,3,2.436,0,0,1,0,0,1,0,0,6,8,6,5.667,0,6,8,4,6.125,1
1,4.182,2,1,3.036,0,0,1,0,1,1,0,0,6,10,6,6.625,0,6,13,5,7.071,1
1,3.727,3,3,3.382,0,0,1,0,1,1,0,0,6,6,6,7.5,0,6,6,6,6.417,0
1,2.909,1,2,1.218,0,0,1,0,0,1,0,0,5,6,5,7.2,0,5,6,5,6.5,1
1,4.182,1,1,3.1,0,0,1,0,0,1,0,0,5,8,5,6.2,0,5,6,5,5.4,1
1,3.918,3,3,0.864,0,1,0,0,1,3,0,0,7,13,1,8.0,0,7,12,0,0.0,0
0,3.364,3,3,3.173,0,0,1,0,0,2,0,0,5,10,5,6.786,0,5,14,5,6.167,1
1,2.818,1,1,2.627,0,0,1,0,1,1,0,0,6,8,5,5.833,0,6,9,5,6.333,1
1,3.091,1,1,2.618,0,1,0,0,0,1,0,6,10,16,6,5.917,2,7,8,2,6.5,0
1,3.727,3,3,4.273,0,0,1,0,1,1,0,0,6,8,6,5.583,0,6,10,5,5.3,1
0,0.909,3,3,0.909,0,0,1,0,0,2,0,0,6,0,0,0.0,0,6,0,0,0.0,0
1,3.636,3,3,2.727,0,1,0,0,0,2,0,8,12,17,8,5.875,6,12,19,6,6.083,0
1,4.091,1,1,2.982,0,0,1,0,0,1,0,0,6,7,6,7.0,0,6,7,6,7.0,1
1,3.636,3,2,2.873,0,0,1,0,0,1,0,0,6,6,6,6.417,0,6,6,6,6.0,1
1,5.091,1,1,5.382,0,0,1,0,0,1,0,0,6,11,4,6.125,0,6,10,3,5.833,1
1,5.091,1,1,4.545,0,0,1,0,0,1,0,0,8,8,7,7.414,0,8,8,7,7.414,1
1,5.818,3,3,3.945,0,0,1,0,1,1,0,0,6,7,5,5.7,0,6,8,5,6.4,1
1,4.273,3,3,3.291,0,0,1,0,1,1,0,0,6,6,6,6.5,0,6,8,6,6.25,1
1,5.545,1,1,3.436,0,0,1,0,1,1,0,0,8,8,7,6.836,0,8,8,7,6.836,1
1,5.455,3,3,5.455,0,0,1,0,1,1,0,0,6,9,6,6.333,0,6,8,5,6.4,1
1,2.818,1,2,2.155,0,0,0,0,0,1,0,0,5,10,2,5.0,0,5,12,1,6.5,0
1,2.909,2,2,2.527,0,0,1,0,0,1,0,0,5,10,5,6.75,0,5,8,5,6.167,1
1,4.818,1,1,4.245,0,0,1,0,0,1,0,2,7,8,7,6.335,1,8,8,8,6.775,1
1,5.636,1,3,4.973,0,0,1,0,0,1,0,0,6,8,6,7.25,0,6,7,6,7.714,1
1,5.0,2,1,4.527,0,0,1,0,0,1,0,0,7,7,7,6.843,0,8,8,8,7.694,1
1,2.727,3,3,2.155,0,0,1,0,0,1,0,0,6,8,5,5.5,0,6,10,3,5.333,0
1,4.545,1,1,4.545,0,1,0,0,0,2,0,7,9,16,7,5.778,5,7,12,5,6.6,0
1,3.545,2,2,2.691,0,0,1,0,1,1,0,0,7,8,7,7.002,0,8,11,7,6.906,1
1,4.455,3,3,3.064,0,0,1,0,1,1,0,0,5,8,4,6.0,0,5,8,4,5.7,1
0,3.918,3,2,4.818,0,0,1,0,1,3,0,0,6,9,5,7.083,0,6,7,6,7.083,1
0,3.364,3,3,0.918,0,0,1,0,0,2,0,1,5,5,5,7.0,0,5,5,5,6.9,1
1,3.273,2,3,2.673,0,0,1,0,1,1,0,0,6,7,5,6.9,0,6,6,6,6.417,1
0,3.455,3,3,2.918,0,0,1,0,0,1,0,0,6,8,5,6.4,0,6,10,6,5.929,1
1,0.909,1,1,0.909,0,0,1,0,0,2,0,0,6,6,6,6.083,0,6,6,6,6.917,1
0,7.273,3,1,1.0,0,0,1,0,0,2,0,0,6,9,4,6.0,0,6,12,4,5.75,1
0,2.455,1,1,1.982,0,0,1,0,1,1,0,0,6,8,6,5.417,0,6,9,6,5.75,1
1,4.545,1,1,4.545,0,0,1,0,0,2,0,0,8,8,8,6.692,0,8,8,8,6.692,1
1,3.0,2,2,3.127,0,0,1,0,0,1,0,0,6,14,6,7.833,0,6,9,6,7.25,1
1,5.455,2,3,5.455,0,1,1,0,1,1,0,0,6,9,6,7.167,0,6,7,6,6.917,1
1,3.0,2,2,2.364,0,0,1,0,1,1,0,0,6,9,6,5.833,0,6,8,6,5.833,1
1,3.636,3,3,4.145,0,0,1,0,1,1,0,0,6,9,5,6.0,0,6,10,2,5.667,0
1,4.273,1,3,2.818,0,0,1,0,1,1,0,0,8,8,7,7.363,0,8,8,7,7.363,1
1,3.273,2,3,2.609,0,0,1,0,1,1,0,0,6,6,6,7.083,0,6,6,6,6.833,1
1,3.182,1,1,3.245,0,0,1,0,0,1,0,0,6,10,6,5.786,0,6,8,6,6.167,1
